Without combination pattern,With combination pattern,With combination patterns under DDoS,With combination patterns under MITM,With combination pattern under Brute Force
2021,3020,4733,3017,3076
2204,3040,4600,3105,3321
2106,3120,4466,3200,3197
2137,3306,4813,3001,3211
2019,3053,4733,3103,3343
2012,3045,4706,3110,3498
2011,3200,4333,3035,3435
2034,3146,4866,3308,3508
2049,3012,4813,3211,3276
2015,3093,4733,3104,3142
2106,3306,4200,3118,3111
2106,3106,4866,3145,3186
2240,3040,4365,3321,3089
2306,3006,4226,3032,3056
2076,3025,4287,3116,3015
