Without combination pattern,With combination pattern,With combination patterns under DDoS,With combination patterns under MITM,With combination pattern under Brute Force
2520,3520,4733,3690,3076
2040,3040,4600,3835,3321
2360,3360,4466,3765,3197
2786,3786,4813,3911,3211
2653,3653,4733,3743,3343
2173,3173,4706,3598,3498
2200,3200,4333,3835,3435
2146,3146,4866,3658,3508
2386,3386,4813,3876,3276
2093,3093,4733,3654,3254
2306,3306,4200,4000,3598
2946,3946,4866,3945,3545
2040,3040,4365,3745,3145
2146,3146,4226,3832,3632
2176,3176,4287,3988,3816
