Without combination pattern,With combination pattern,With combination patterns under DDoS,With combination patterns under MITM,With combination pattern under Brute Force
2321,3020,4733,3657,3076
2214,3040,4600,3435,3321
2116,3320,4466,3765,3197
2137,3186,4813,3511,3211
2019,3053,4733,3743,3343
2232,3045,4706,3598,3498
2041,3200,4333,3835,3435
2034,3146,4866,3308,3508
2049,3342,4813,3876,3276
2315,3093,4733,3654,3142
2306,3306,4200,3998,3111
2106,3146,4866,3345,3186
2240,3040,4365,3345,3089
2346,3146,4226,3132,3056
2076,3025,4287,3316,3015
